Date,Open,Close,High,Low,Volume
2021/10/18,632.1,637.97,638.41,620.59,4669071
2021/10/19,636.97,639,641,632.3,7633147
2021/10/20,625.57,625.14,637.4,617.15,10621997
2021/10/21,628.89,653.16,654.01,628.65,8437070
2021/10/22,651.81,664.78,665.46,651.81,6186016
2021/10/25,663.74,671.66,675.88,657.07,3833526
2021/10/26,673.76,668.52,676.49,662.77,2904840
2021/10/27,669,662.92,671.41,661.85,2276914
2021/10/28,670.95,674.05,676.8,668.03,2859409
2021/10/29,673.06,690.31,690.97,671.24,3825279
2021/11/01,689.06,681.17,689.97,676.54,3110911
2021/11/02,683.11,677.72,687.68,673.82,3888597
2021/11/03,677.27,688.29,689.39,677.27,2334852
2021/11/04,685.89,668.4,685.94,665.5,4865023
2021/11/05,663.97,645.72,665.64,645.01,5283488
2021/11/08,650.29,651.45,656,643.79,2887523
2021/11/09,653.7,655.99,660.5,650.52,2415630
2021/11/10,653.01,646.91,660.33,642.11,2405785
2021/11/11,650.24,657.58,665.82,649.71,2868311
2021/11/12,660.01,682.61,683.34,653.82,4198410
2021/11/15,681.24,679.33,685.26,671.49,2872186
2021/11/16,678.27,687.4,688.36,676.9,2077387
2021/11/17,690,691.69,700.99,686.09,2732831
2021/11/18,691.61,682.02,691.74,679.74,2014992
2021/11/19,692.35,678.8,694.16,675,2614852
2021/11/22,676.02,659.2,679.48,656.47,2765318
2021/11/23,658.18,654.06,666.43,646.05,2320917
2021/11/24,658.01,658.29,661.44,651.1,1867282
2021/11/26,675,665.64,676.41,660.67,2872513
2021/11/29,663.2,663.84,667.99,658.29,2529364
2021/11/30,668.2,641.9,675.38,640.01,5608919
2021/12/01,649.48,617.77,654.52,617.07,3897019
2021/12/02,617.1,616.47,625.36,612.88,3331131
2021/12/03,622.75,602.13,625.5,594,4829282
2021/12/06,606.01,612.69,617.29,601,3075672
2021/12/07,619.83,625.58,628.89,611.4,3125190
2021/12/08,630,628.08,632.46,623.2,2220308
2021/12/09,627.58,611,630.24,610.44,2376321
2021/12/10,616.78,611.66,617.74,605.88,2748774
2021/12/13,612,604.56,612.64,599.52,2517915
2021/12/14,598.71,597.99,602.29,588.13,2984536
2021/12/15,598.18,605.04,605.69,584.51,2866196
2021/12/16,597.09,591.06,602.83,588,3143217
2021/12/17,591.61,586.73,593.25,581.74,4433706
2021/12/20,586.43,593.74,602.88,584.26,3358404
2021/12/21,597.54,604.92,607.82,593.86,2319390
2021/12/22,603.36,614.24,614.82,602.63,2335745
2021/12/23,616.4,614.09,616.88,607.57,1621146
2021/12/27,615,613.12,615,609.25,2062233
2021/12/28,614.95,610.71,618.41,609.69,1884116
2021/12/29,610.71,610.54,613.98,604.68,1287513
2021/12/30,612.99,612.09,620.61,611.24,1625093
2021/12/31,610.01,602.44,614.08,602.05,1995918
2022/01/03,605.61,597.37,609.99,590.56,3068808
2022/01/04,599.91,591.15,600.41,581.6,4393135
2022/01/05,592,567.52,592.84,566.88,4148749
2022/01/06,554.34,553.29,563.36,542.01,5711795
2022/01/07,549.46,541.06,553.43,538.22,3382873
2022/01/10,538.49,539.85,543.69,526.32,4486145
2022/01/11,536.99,540.84,543.91,530.07,3077836
2022/01/12,544.27,537.22,544.27,532.02,3787372
2022/01/13,537.06,519.2,540.79,518.26,4475063
2022/01/14,517.6,525.69,538.37,511.88,7861109
2022/01/18,520.08,510.8,521.75,508.68,4844418
2022/01/19,515,515.86,523.21,510.51,4353508
2022/01/20,517.75,508.25,526.64,506.93,12658993
2022/01/21,400.43,397.5,409.15,379.99,58904266
